"q_demos_state","year","month","order_totals","log_total","count","count_female","count_male","count_less5","count_5to10","count_over10","count_hh1","count_hh2","count_hh3","count_hh4","count_howmany1","count_howmany2","count_howmany3","count_howmany4","count_1824","count_2534","count_3544","count_4554","count_5564","count_65up","count_und25k","count_2549k","count_5074k","count_7599k","count_100149k","count_150kup","count_lessHS","count_HS","count_B","count_G"
"Alabama",2018,1,1774.01,3.2489560635974994,53,49,4,17,33,3,15,9,17,12,41,7,1,4,1,10,10,29,3,0,1,23,8,0,19,2,0,8,29,16
"Alabama",2018,2,2015.14,3.3043052237353727,49,47,2,19,26,4,15,4,18,12,36,5,1,7,0,6,7,29,7,0,4,18,3,2,17,5,0,13,24,12
"Alabama",2018,3,1689.01,3.2276322208747166,51,48,3,18,30,3,15,10,15,11,40,6,0,5,0,8,10,26,7,0,4,17,7,0,19,4,0,8,24,19
"Alabama",2018,4,3303.88,3.5190242649545627,47,42,5,19,27,1,9,6,17,15,39,3,0,5,0,11,9,17,10,0,5,14,10,0,12,6,0,18,15,14
"Alabama",2018,5,1922.96,3.2839702504579535,43,41,2,11,30,2,10,7,16,10,31,5,0,7,0,6,9,23,5,0,1,11,7,1,17,6,0,5,22,16
"Alabama",2018,6,2497.19,3.3974515871300213,62,57,5,22,39,1,15,8,23,16,44,8,5,5,1,7,13,34,7,0,2,17,10,2,26,5,0,14,28,20
"Alabama",2018,7,4831.23,3.684057713403126,88,80,8,31,49,8,21,13,29,25,60,14,3,11,3,13,18,45,9,0,7,30,10,2,34,5,0,20,46,22
"Alabama",2018,8,2202.72,3.3429592950702465,63,60,3,27,36,0,15,13,19,16,47,13,1,2,2,18,4,32,7,0,4,21,9,1,21,7,0,17,23,23
"Alabama",2018,9,2992.05,3.4759688467267345,62,58,4,19,41,2,16,11,27,8,46,10,1,5,0,9,8,39,6,0,4,25,7,2,18,6,0,9,32,21
"Alabama",2018,10,2447.51,3.388724474912743,63,60,3,26,37,0,16,11,21,15,48,9,1,5,0,10,9,35,9,0,5,13,12,3,23,7,0,15,19,29
"Alabama",2018,11,3735.38,3.5723347891523534,64,58,6,19,42,3,9,22,19,14,45,13,1,5,0,18,7,35,4,0,4,17,24,3,11,5,0,16,21,27
"Alabama",2018,12,4742.87,3.676041220992502,85,79,6,29,54,2,22,18,27,18,57,15,2,11,1,19,13,40,12,0,6,20,18,1,30,10,0,17,31,37
"Alabama",2019,1,2393.33,3.3790025846552503,62,59,3,26,36,0,15,13,26,8,41,15,3,3,0,14,10,35,3,0,2,25,12,2,15,6,0,10,23,29
"Alabama",2019,2,2344.05,3.369966871208041,55,49,4,32,21,2,7,12,17,19,43,7,1,4,0,11,11,29,4,0,4,11,12,6,18,4,0,13,14,28
"Alabama",2019,3,2884.43,3.4600600038652773,63,62,1,28,29,6,10,20,19,14,33,13,7,10,0,10,17,31,5,0,1,19,11,4,21,7,0,9,17,37
"Alabama",2019,4,1758.38,3.2451127353961606,43,37,6,17,26,0,11,12,11,9,31,8,1,3,0,11,6,21,5,0,3,9,8,1,18,4,0,10,16,17
"Alabama",2019,5,2312.48,3.364077985334444,55,49,6,29,25,1,12,16,14,13,36,13,1,5,0,15,12,22,6,0,2,11,10,5,20,7,0,10,14,31
"Alabama",2019,6,1643.5,3.215769708417643,55,50,3,19,34,2,8,21,11,15,30,17,3,5,0,20,8,22,5,0,0,10,12,4,25,4,0,11,13,31
"Alabama",2019,7,4238.56,3.627218335301392,74,61,12,34,37,3,13,16,21,24,55,13,2,4,1,16,15,36,6,0,4,24,16,6,20,4,0,20,31,23
"Alabama",2019,8,2481.34,3.394686276568456,68,60,8,35,33,0,25,21,5,17,52,14,1,1,0,20,13,32,3,0,4,12,8,0,38,6,0,16,26,26
"Alabama",2019,9,2155.78,3.3336044384900796,68,59,8,34,34,0,23,16,15,14,53,13,2,0,0,21,8,33,6,0,9,15,10,1,28,5,0,21,28,19
"Alabama",2019,10,2557.9900000000002,3.407898842350099,74,66,6,21,53,0,27,13,18,16,53,18,0,3,0,29,7,33,5,0,4,15,12,2,38,3,0,15,35,24
"Alabama",2019,11,3754.67,3.574571772637935,72,60,11,34,38,0,33,15,13,11,47,19,5,1,0,19,13,35,5,0,6,12,10,1,40,3,0,14,36,22
"Alabama",2019,12,4738.45,3.6756363023210366,97,86,9,51,42,4,26,21,27,23,59,19,6,13,0,29,20,31,17,0,14,18,16,5,33,11,0,30,28,39
"Alabama",2020,1,3202.61,3.5055040553792787,81,71,6,44,35,2,21,23,17,20,52,19,5,5,0,31,11,34,5,0,9,15,11,4,34,8,0,22,23,36
"Alabama",2020,2,3072.0099999999998,3.48742262507619,72,59,11,31,40,1,24,21,19,8,39,23,6,4,5,29,7,24,7,0,8,18,8,3,31,4,0,24,22,26
"Alabama",2020,3,5624.2,3.7500607560643964,87,83,3,29,54,4,27,18,26,16,59,13,6,9,4,23,12,41,7,0,10,20,12,2,32,11,0,26,33,28
"Alabama",2020,4,5018.92,3.700610273220321,107,95,11,47,42,18,24,23,27,33,61,19,7,20,2,28,33,40,4,0,8,43,12,1,37,6,0,27,52,28
"Alabama",2020,5,4995.07,3.698541578728311,119,107,12,54,47,18,28,21,30,40,67,23,6,23,3,24,40,43,9,0,6,44,11,3,45,10,0,24,50,45
"Alabama",2020,6,4479.67,3.6512460223781193,100,83,16,43,49,8,34,26,17,23,63,23,6,8,1,19,32,42,6,0,6,30,16,1,41,6,0,17,49,34
"Alabama",2020,7,4463.81,3.6497057007799563,104,92,10,40,53,11,44,18,14,28,65,23,4,12,8,25,28,38,5,0,11,30,22,5,33,3,0,24,47,33
"Alabama",2020,8,3649.41,3.56222265775624,101,84,17,43,54,4,27,24,32,18,52,33,3,13,0,18,26,43,14,0,7,21,19,6,35,13,0,19,37,45
"Alabama",2020,9,3469.52,3.540269395318044,97,83,11,28,60,9,31,18,30,18,58,21,1,17,3,18,21,42,13,0,8,28,12,6,31,12,0,17,50,30
"Alabama",2020,10,4407.55,3.6441972477100837,100,93,7,33,56,11,24,17,30,29,61,21,0,18,3,16,28,43,10,0,10,22,16,8,35,9,0,17,40,43
"Alabama",2020,11,5853.8,3.7674378803150317,108,94,14,28,65,15,34,20,28,26,59,30,0,19,4,19,31,49,5,0,3,36,22,7,34,6,0,11,60,37
"Alabama",2020,12,7546.01,3.877717376393991,151,133,16,56,77,18,42,28,47,34,89,36,2,24,1,37,38,65,10,0,8,63,22,6,44,8,0,24,78,49
"Alabama",2021,1,4585.31,3.661368702435323,112,104,8,39,47,26,31,12,31,38,61,20,2,29,2,24,35,43,8,0,10,56,10,3,27,6,0,23,60,29
"Alabama",2021,2,4636.36,3.6661771503164546,89,83,6,31,40,18,20,18,24,27,50,18,0,21,4,18,26,34,7,0,8,40,11,4,20,6,0,16,42,31
"Alabama",2021,3,9461.08,3.975940714760001,140,124,15,60,54,26,29,28,43,40,76,24,12,28,0,27,44,57,12,0,14,68,18,5,31,4,0,39,67,34
"Alabama",2021,4,7062.76,3.8489744487194426,129,115,13,66,49,14,27,31,40,31,78,25,8,18,5,32,32,50,10,0,16,51,21,4,28,9,0,37,41,51
"Alabama",2021,5,4644.07,3.6668987572303213,92,82,10,40,37,15,24,15,25,28,52,22,2,16,0,21,25,38,8,0,9,35,12,6,28,2,0,24,45,23
"Alabama",2021,6,6249.13,3.7958195593442197,125,113,11,52,57,16,28,23,41,33,74,29,3,19,2,34,32,45,12,0,14,50,21,7,28,5,0,37,51,37
"Alabama",2021,7,5681.43,3.754457660173239,117,105,11,52,54,11,30,25,37,25,70,28,5,14,3,36,21,48,9,0,11,48,18,8,28,4,0,31,45,41
"Alabama",2021,8,4866.48,3.687214942874762,115,103,12,51,55,9,30,21,37,27,73,23,5,14,0,25,28,47,15,0,12,37,22,7,31,6,0,27,45,43
"Alabama",2021,9,3936.5299999999997,3.5951135655163364,113,101,9,52,59,2,36,22,31,24,82,17,7,7,8,26,16,48,15,0,13,27,19,5,42,7,0,32,43,38
"Alabama",2021,10,6218.83,3.793708684957753,120,105,15,46,58,16,32,23,36,29,70,19,8,23,4,29,26,44,17,0,15,47,18,2,31,7,0,40,50,30
"Alabama",2021,11,5811.82,3.764312155141247,150,135,13,67,65,18,40,32,46,32,86,29,7,28,7,37,28,57,21,0,21,58,21,8,28,14,0,41,57,52
"Alabama",2021,12,8229.63,3.9153803099910673,146,126,19,66,67,13,48,32,40,26,83,39,5,19,1,37,25,59,24,0,16,52,19,8,44,7,0,38,62,46
"Alabama",2022,1,6401.08,3.8062532549947967,126,111,14,56,59,11,40,26,30,30,88,21,3,14,6,25,27,52,16,0,20,40,17,6,37,6,0,34,54,38
